time,open,high,low,close,volume
2026-07-21 05:09:00,4025.62,4025.9,4024.97,4025.69,72
2026-07-21 05:10:00,4025.71,4026.42,4023.59,4023.95,84
2026-07-21 05:11:00,4023.89,4025.61,4023.84,4025.58,77
2026-07-21 05:12:00,4025.58,4025.81,4024.29,4024.32,79
2026-07-21 05:13:00,4024.33,4025.03,4023.82,4023.82,80
2026-07-21 05:14:00,4023.81,4024.32,4023.4,4024.2,73
2026-07-21 05:15:00,4024.17,4025.03,4023.89,4024.5,64
2026-07-21 05:16:00,4024.57,4025.17,4024.05,4024.24,69
2026-07-21 05:17:00,4024.28,4024.74,4024.15,4024.41,64
2026-07-21 05:18:00,4024.41,4024.57,4022.89,4023.52,55
2026-07-21 05:19:00,4023.48,4023.48,4021.86,4022.44,67
2026-07-21 05:20:00,4022.1,4023.87,4021.71,4023.69,72
2026-07-21 05:21:00,4023.72,4025.13,4023.58,4025.13,83
2026-07-21 05:22:00,4025.03,4027.0,4024.9,4026.9,89
2026-07-21 05:23:00,4026.93,4028.36,4026.62,4026.97,75
2026-07-21 05:24:00,4027.0,4028.35,4027.0,4027.92,70
2026-07-21 05:25:00,4028.05,4028.08,4025.77,4026.25,79
2026-07-21 05:26:00,4026.4,4026.76,4025.78,4026.47,72
2026-07-21 05:27:00,4026.72,4026.72,4025.42,4026.39,76
2026-07-21 05:28:00,4026.41,4027.95,4025.86,4027.74,70
2026-07-21 05:29:00,4027.78,4029.77,4027.76,4028.67,83
2026-07-21 05:30:00,4029.34,4031.98,4027.82,4031.77,114
2026-07-21 05:31:00,4031.82,4032.25,4029.91,4030.24,100
2026-07-21 05:32:00,4030.28,4031.65,4030.28,4031.51,95
2026-07-21 05:33:00,4031.5,4032.04,4030.1,4030.56,87
2026-07-21 05:34:00,4030.6,4031.41,4030.09,4030.36,95
2026-07-21 05:35:00,4030.23,4032.09,4029.91,4031.95,101
2026-07-21 05:36:00,4032.25,4044.42,4032.25,4039.31,124
2026-07-21 05:37:00,4039.3,4039.3,4036.47,4036.54,112
2026-07-21 05:38:00,4036.68,4038.09,4035.55,4037.8,106
2026-07-21 05:39:00,4037.51,4038.03,4035.86,4037.09,106
2026-07-21 05:40:00,4037.07,4039.7,4036.7,4038.46,106
2026-07-21 05:41:00,4038.41,4039.89,4037.79,4039.45,95
2026-07-21 05:42:00,4039.23,4039.86,4037.32,4037.35,98
2026-07-21 05:43:00,4037.45,4038.77,4036.54,4037.1,87
2026-07-21 05:44:00,4036.89,4037.37,4034.99,4035.35,92
2026-07-21 05:45:00,4035.42,4035.95,4035.03,4035.91,80
2026-07-21 05:46:00,4035.83,4035.97,4034.84,4035.25,84
2026-07-21 05:47:00,4035.26,4036.08,4035.07,4035.13,78
2026-07-21 05:48:00,4035.17,4035.42,4034.59,4034.66,83
2026-07-21 05:49:00,4034.41,4034.65,4033.8,4033.97,80
2026-07-21 05:50:00,4033.97,4034.76,4033.42,4033.61,76
2026-07-21 05:51:00,4033.59,4034.46,4032.95,4032.97,79
2026-07-21 05:52:00,4032.97,4033.32,4030.88,4032.46,96
2026-07-21 05:53:00,4032.42,4033.48,4032.31,4032.66,68
2026-07-21 05:54:00,4032.57,4033.56,4032.28,4033.15,90
2026-07-21 05:55:00,4033.15,4034.75,4032.7,4034.75,89
2026-07-21 05:56:00,4034.79,4036.43,4034.34,4035.89,89
2026-07-21 05:57:00,4035.86,4036.71,4035.45,4036.71,87
2026-07-21 05:58:00,4036.67,4037.74,4036.34,4036.7,85
2026-07-21 05:59:00,4036.49,4038.06,4036.49,4037.83,93
2026-07-21 06:00:00,4037.79,4039.73,4037.67,4039.07,93
2026-07-21 06:01:00,4039.05,4040.9,4039.03,4040.17,99
2026-07-21 06:02:00,4040.22,4041.98,4039.93,4041.11,96
2026-07-21 06:03:00,4041.07,4041.07,4039.02,4039.4,97
2026-07-21 06:04:00,4039.36,4040.34,4039.26,4040.3,90
2026-07-21 06:05:00,4040.37,4041.02,4039.7,4040.51,87
2026-07-21 06:06:00,4040.58,4041.2,4039.86,4041.15,81
2026-07-21 06:07:00,4041.21,4041.83,4039.75,4039.75,74
2026-07-21 06:08:00,4039.73,4040.28,4037.99,4040.08,90
2026-07-21 06:09:00,4040.0,4040.8,4039.65,4040.62,81
2026-07-21 06:10:00,4040.63,4041.26,4040.02,4040.64,87
2026-07-21 06:11:00,4040.65,4041.22,4039.96,4040.26,72
2026-07-21 06:12:00,4040.29,4040.62,4039.21,4039.31,83
2026-07-21 06:13:00,4039.3,4040.0,4038.8,4038.9,91
2026-07-21 06:14:00,4038.89,4038.89,4037.6,4037.63,73
2026-07-21 06:15:00,4037.96,4037.96,4036.72,4037.42,76
2026-07-21 06:16:00,4037.47,4038.53,4037.34,4038.51,82
2026-07-21 06:17:00,4038.46,4038.46,4037.34,4037.34,82
